pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
67493,5,1,1,2,27.333333333,,,,,,,,,,,,,,,,,,,,,3,5,3,1,3,2,1,3,3,5,45,3,3,3,3,1,2,3,1,3,3,2.79,2,4,5,5,4,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-07-01,2019-09-01,,2,0
67665,5,2,9,1,28.083333333,,,,,,,,,,,,,,,,,,,,,6,9,1,1,3,1,1,3,1,5,40,4,4,2,2,1,2,1,1,1,2,3.6,2,3,3,3,4,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-10-01,2020-05-01,,7,0
67670,5,2,8,1,28.25,,,,,,,,,,,,,,,,,,,,,-1,8,1,1,1,1,1,1,1,5,40,4,4,3,3,1,2,1,1,1,3,3.2,2,3,4,4,4,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2018-09-01,2019-09-01,,12,0
67688,5,3,11,1,23.583333333,,,,,,,,,,,,,,,,,,,,,1,11,1,2,2,2,2,2,2,5,40,2,2,3,1,1,2,1,1,2,3,3.9,2,3,4,4,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-01-01,2019-08-01,,7,0
67697,5,3,10,2,27.583333333,,,,,,,,,,,,,,,,,,,,,1,11,1,3,3,2,1,3,3,5,15,4,4,3,2,2,2,3,3,2,3,3.48,1,2,2,4,5,1,2019,1,2,2014-03-01,2018-08-31,2019-09-01,,2019-06-01,2019-12-01,,6,0
67700,5,4,15,1,27.75,,,,,,,,,,,,,,,,,,,,,4,1,1,1,3,3,3,3,3,5,40,1,3,1,2,1,2,3,1,3,3,3.5,2,4,4,4,4,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2019-11-01,2020-07-01,,8,0
67718,5,4,7,1,26.583333333,,,,,,,,,,,,,,,,,,,,,1,7,1,2,3,1,2,1,3,5,30,3,3,1,1,1,2,1,1,1,3,3.29,1,3,3,3,3,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-08-01,,6,0
67723,5,5,6,2,26.333333333,,,,,,,,,,,,,,,,,,,,,7,6,2,1,1,1,1,3,1,5,40,4,3,1,1,1,2,1,1,1,3,3.47,2,3,3,3,3,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2018-11-01,2019-11-01,,12,0
67763,5,3,11,2,23.833333333,,,,,,,,,,,,,,,,,,,,,7,11,1,2,2,2,1,2,2,5,40,3,3,2,3,1,2,1,1,1,3,4.1,1,4,7,6,7,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-09-01,2020-02-01,,5,0
67781,5,4,3,1,27.333333333,1,9,1,1,1,1,1,1,1,5,30,4,4,4,5,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,2,3.7,1,4,5,5,5,1,2019,0,1,2013-03-01,2019-02-28,2019-09-01,2013-03-01,,,78,,0
